#SampleID	Metaphlan2_Analysis
Bacteria|Myxococcota|Polyangia|Polyangiales|Polyangiaceae|PMG-095|	7
Bacteria|Patescibacteria|Paceibacteria|UBA9983_A|UBA2100|UBA10103|	7
Bacteria|Patescibacteria|Saccharimonadia|Saccharimonadales|UBA4665||	7
Bacteria|Patescibacteria|Saccharimonadia|UBA4664|SCTI01||	7
Bacteria|Planctomycetota|Phycisphaerae|Tepidisphaerales|Tepidisphaeraceae|PALSA-1353|	7
Bacteria|Planctomycetota|Planctomycetia|Gemmatales|Gemmataceae||	7
Bacteria|Planctomycetota|Planctomycetia|Pirellulales|Lacipirellulaceae|JABDGM01|	7
Bacteria|Planctomycetota|Planctomycetia|Planctomycetales|Planctomycetaceae||	7
Bacteria|Pseudomonadota|Alphaproteobacteria|Acetobacterales|Acetobacteraceae|Acidisoma|	7
Bacteria|Pseudomonadota|Alphaproteobacteria|Acetobacterales|Acetobacteraceae|Acidisoma|Acidisoma sp009765865	7
Bacteria|Pseudomonadota|Alphaproteobacteria|Acetobacterales|Acetobacteraceae|JAMXLO01|	7
Bacteria|Pseudomonadota|Alphaproteobacteria|Acetobacterales|Acetobacteraceae|LMUY01|	7
Bacteria|Pseudomonadota|Alphaproteobacteria|Acetobacterales|Acetobacteraceae|Palsa-883|	7
Bacteria|Pseudomonadota|Alphaproteobacteria|Acetobacterales|Acetobacteraceae|Rhodopila|	35
Bacteria|Pseudomonadota|Alphaproteobacteria|ATCC43930|Stellaceae||	7
Bacteria|Pseudomonadota|Alphaproteobacteria|ATCC43930|Stellaceae|AP-15|	28
Bacteria|Pseudomonadota|Alphaproteobacteria|ATCC43930|Stellaceae|URHD0088|	7
Bacteria|Pseudomonadota|Alphaproteobacteria|BOG-932|BOG-932|BOG-932|	7
Bacteria|Pseudomonadota|Alphaproteobacteria|CADEGL01|||	7
Bacteria|Pseudomonadota|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|BOG-938|	14
Bacteria|Pseudomonadota|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|CAIOYC01|	7
Bacteria|Pseudomonadota|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Palsa-881|	7
Bacteria|Pseudomonadota|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Phenylobacterium|	7
Bacteria|Pseudomonadota|Alphaproteobacteria|Geminicoccales|Geminicoccaceae||	7
Bacteria|Pseudomonadota|Alphaproteobacteria|Micavibrionales|GCA-2720935||	7
Bacteria|Pseudomonadota|Alphaproteobacteria|Micropepsales|Micropepsaceae|CAIYRG01|	7
Bacteria|Pseudomonadota|Alphaproteobacteria|Micropepsales|Micropepsaceae|Rhizomicrobium|	56
Bacteria|Pseudomonadota|Alphaproteobacteria|Reyranellales|Reyranellaceae|Reyranella|	7
Bacteria|Pseudomonadota|Alphaproteobacteria|Rhizobiales|Beijerinckiaceae|Methylovirgula|	21
Bacteria|Pseudomonadota|Alphaproteobacteria|Rhizobiales|Beijerinckiaceae|Roseiarcus|	35
Bacteria|Pseudomonadota|Alphaproteobacteria|Rhizobiales|Hyphomicrobiaceae|AWTP1-13|	14
Bacteria|Pseudomonadota|Alphaproteobacteria|Rhizobiales|Hyphomicrobiaceae|Hyphomicrobium_A|	7
Bacteria|Pseudomonadota|Alphaproteobacteria|Rhizobiales|Kaistiaceae|Bauldia|	7
Bacteria|Pseudomonadota|Alphaproteobacteria|Rhizobiales|Methyloligellaceae|Methyloceanibacter|	42
Bacteria|Pseudomonadota|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium|Rhizobium sp900465675	7
Bacteria|Pseudomonadota|Alphaproteobacteria|Rhizobiales|Xanthobacteraceae|AP-16|	7
Bacteria|Pseudomonadota|Alphaproteobacteria|Rhizobiales|Xanthobacteraceae|BOG-931|	70
Bacteria|Pseudomonadota|Alphaproteobacteria|Rhizobiales|Xanthobacteraceae|Bradyrhizobium|	56
Bacteria|Pseudomonadota|Alphaproteobacteria|Rhizobiales|Xanthobacteraceae|JAJPKK01|	28
Bacteria|Pseudomonadota|Alphaproteobacteria|Rhizobiales|Xanthobacteraceae|PALSA-894|	7
Bacteria|Pseudomonadota|Alphaproteobacteria|Rhizobiales|Xanthobacteraceae|Pseudolabrys|	21
Bacteria|Pseudomonadota|Alphaproteobacteria|Rhizobiales|Xanthobacteraceae|Pseudorhodoplanes|	7
Bacteria|Pseudomonadota|Alphaproteobacteria|Rhizobiales|Xanthobacteraceae|VAZQ01|	14
Bacteria|Pseudomonadota|Alphaproteobacteria|Rhizobiales|Xanthobacteraceae|Z2-YC6860|	7
Bacteria|Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Allosphingosinicella|	14
Bacteria|Pseudomonadota|Gammaproteobacteria|Burkholderiales|Burkholderiaceae_A||	7
Bacteria|Pseudomonadota|Gammaproteobacteria|Burkholderiales|Burkholderiaceae_B|Schlegelella_A|	7
Bacteria|Pseudomonadota|Gammaproteobacteria|Burkholderiales|Burkholderiaceae|Caballeronia|	14
Bacteria|Pseudomonadota|Gammaproteobacteria|Burkholderiales|Burkholderiaceae|CAHJXF01|	7
Bacteria|Pseudomonadota|Gammaproteobacteria|Burkholderiales|Burkholderiaceae|Herbaspirillum|	14
Bacteria|Pseudomonadota|Gammaproteobacteria|Burkholderiales|Burkholderiaceae|Paraburkholderia|	7
Bacteria|Pseudomonadota|Gammaproteobacteria|Burkholderiales|Burkholderiaceae|Pararobbsia|	7
Bacteria|Pseudomonadota|Gammaproteobacteria|Burkholderiales|Burkholderiaceae|Trinickia|	7
Bacteria|Pseudomonadota|Gammaproteobacteria|Burkholderiales|Rhodocyclaceae||	7
Bacteria|Pseudomonadota|Gammaproteobacteria|Burkholderiales|SG8-39|JAABQT01|	7
Bacteria|Pseudomonadota|Gammaproteobacteria|Burkholderiales|SG8-39|RBG-16-66-20|	7
Bacteria|Pseudomonadota|Gammaproteobacteria|Burkholderiales|SG8-39|SCGC-AG-212-J23|	14
Bacteria|Pseudomonadota|Gammaproteobacteria|Burkholderiales|SHXO01|SHXO01|	7
Bacteria|Pseudomonadota|Gammaproteobacteria|REEB76|REEB76||	7
Bacteria|Pseudomonadota|Gammaproteobacteria|Steroidobacterales|Steroidobacteraceae|13-2-20CM-66-19|	28
Bacteria|Pseudomonadota|Gammaproteobacteria|Steroidobacterales|Steroidobacteraceae|Bog-1198|	77
Bacteria|Pseudomonadota|Gammaproteobacteria|Steroidobacterales|Steroidobacteraceae|FEN-1191|	14
Bacteria|Pseudomonadota|Gammaproteobacteria|Steroidobacterales|Steroidobacteraceae|PALSA-1196|	7
Bacteria|Pseudomonadota|Gammaproteobacteria|Xanthomonadales|Rhodanobacteraceae|Rhodanobacter|	7
Bacteria|Pseudomonadota|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Luteimonas_D|	7
Bacteria|Pseudomonadota|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Luteimonas_E|	7
Bacteria|Pseudomonadota|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Stenotrophomonas|Stenotrophomonas sp024519465	7
Bacteria|Tectomicrobia|Entotheonellia|J063|J063||	7
Bacteria|Verrucomicrobiota|Verrucomicrobiae|Chthoniobacterales|JAFAMB01||	7
Bacteria|Verrucomicrobiota|Verrucomicrobiae|Chthoniobacterales|JAFAMB01|JAFAMB01|	7
Bacteria|Verrucomicrobiota|Verrucomicrobiae|Chthoniobacterales|Terrimicrobiaceae||	14
Bacteria|Verrucomicrobiota|Verrucomicrobiae|Chthoniobacterales|Terrimicrobiaceae|CAMASH01|	7
Bacteria|Verrucomicrobiota|Verrucomicrobiae|Chthoniobacterales|UBA10450|AV133|	7
